key,region,district,description,easting,northing,latitude,longitude,url
H401F,香港岛,南区,黄竹坑道近香港仔隧道 [H401F],835631,812421,22.25055947,114.1706947,https://tdcctv.data.one.gov.hk/H401F.JPG
H203F,香港岛,湾仔区,怡和街近轩尼诗道 [H203F],837066,815694,22.28011673,114.1846175,https://tdcctv.data.one.gov.hk/H203F.JPG
K202F,九龙,油尖旺区,亚皆老街近染布房街 [K202F],835849,820090,22.31981545,114.1728075,https://tdcctv.data.one.gov.hk/K202F.JPG
K209F,九龙,油尖旺区,界限街近大坑东道 [K209F],835772,820842,22.32660644,114.17206,https://tdcctv.data.one.gov.hk/K209F.JPG
K104F,九龙,油尖旺区,广东道近中港城 [K104F],835368,817990,22.30085,114.16814,https://tdcctv.data.one.gov.hk/K104F.JPG
K106F,九龙,油尖旺区,漆咸道近柯士甸道 [K106F],836309,818195,22.30270251,114.1772723,https://tdcctv.data.one.gov.hk/K106F.JPG
K109F,九龙,油尖旺区,漆咸道近公主道 [K109F],836469,818513,22.30557423,114.1788251,https://tdcctv.data.one.gov.hk/K109F.JPG
K221F,九龙,油尖旺区,樱桃街近海泓道 [K221F],834894,819923,22.31830685,114.1635385,https://tdcctv.data.one.gov.hk/K221F.JPG
K305F,九龙,深水埗区,长沙湾道近光昌街 [K305F],833695,822178,22.33866944,114.1518975,https://tdcctv.data.one.gov.hk/K305F.JPG
K802F,九龙,深水埗区,呈祥道近明爱医院 [K802F],833892,822605,22.34253,114.15381,https://tdcctv.data.one.gov.hk/K802F.JPG
TK110F,新界,西贡区,翠岭路近宝顺路 [TK110F],844286,818484,22.30529,114.25469,https://tdcctv.data.one.gov.hk/TK110F.JPG
K627F,九龙,观塘区,清水湾道近飞鹅山道 [K627F],841057,821683,22.33419,114.22336,https://tdcctv.data.one.gov.hk/K627F.JPG
K107F,九龙,油尖旺区,海底隧道九龙入口 [K107F],836665,818282,22.30349,114.18073,https://tdcctv.data.one.gov.hk/K107F.JPG
K108F,九龙,油尖旺区,佐敦道近渡船街 [K108F],835263,818541,22.30582,114.16712,https://tdcctv.data.one.gov.hk/K108F.JPG
K613F,九龙,观塘区,启祥道近宏照道 [K613F],839556,820704,22.32535714,114.2087889,https://tdcctv.data.one.gov.hk/K613F.JPG
K404F,九龙,九龙城区,启德隧道九龙城入口 [K404F],837362,819451,22.3140446,114.1874923,https://tdcctv.data.one.gov.hk/K404F.JPG
K325F,九龙,深水埗区,葵涌道近美孚新邨 [K325F],832578,821982,22.3369,114.14106,https://tdcctv.data.one.gov.hk/K325F.JPG
K814F,九龙,观塘区,观塘绕道近启祥道 [K814F],839090,820611,22.32452,114.20426,https://tdcctv.data.one.gov.hk/K814F.JPG
K812F,九龙,观塘区,观塘绕道近丽港城 [K812F],841721,818903,22.30909,114.2298,https://tdcctv.data.one.gov.hk/K812F.JPG
K813F,九龙,观塘区,观塘绕道近励业街 [K813F],840447,819259,22.31230599,114.2174335,https://tdcctv.data.one.gov.hk/K813F.JPG
K621F,九龙,观塘区,观塘道近龙翔道 [K621F],839588,821373,22.3314,114.2091,https://tdcctv.data.one.gov.hk/K621F.JPG
K809F2,九龙,观塘区,观塘道近九龙湾港铁站 [K809F2],840179,820053,22.31947692,114.2148344,https://tdcctv.data.one.gov.hk/K809F2.JPG
K810F,九龙,观塘区,观塘道近牛头角港铁站 [K810F],840705,819518,22.31464427,114.2199383,https://tdcctv.data.one.gov.hk/K810F.JPG
K602F,九龙,观塘区,鲤鱼门道近茶果岭道 [K602F],841668,819019,22.31013525,114.2292831,https://tdcctv.data.one.gov.hk/K602F.JPG
K804F,九龙,深水埗区,龙翔道近泽安邨 [K804F],835019,822557,22.3420935,114.1647497,https://tdcctv.data.one.gov.hk/K804F.JPG
K505F,九龙,黄大仙区,龙翔道/竹园道 [K505F],837063,822647,22.34290651,114.1845919,https://tdcctv.data.one.gov.hk/K505F.JPG
K614F,九龙,观塘区,龙翔道/清水湾道 [K614F],839525,821661,22.33399946,114.20849,https://tdcctv.data.one.gov.hk/K614F.JPG
K508F,九龙,黄大仙区,龙翔道/蒲岗村道 [K508F],838557,822471,22.34132,114.1991,https://tdcctv.data.one.gov.hk/K508F.JPG
K405F,九龙,九龙城区,马头围道近农圃道 [K405F],837356,820351,22.32217214,114.1874347,https://tdcctv.data.one.gov.hk/K405F.JPG
K205F,九龙,油尖旺区,弥敦道近荔枝角道 [K205F],835419,820366,22.32230774,114.1686338,https://tdcctv.data.one.gov.hk/K205F.JPG
TK101F,新界,西贡区,宝琳北路近宝康路 [TK101F],843921,820782,22.32604763,114.2511576,https://tdcctv.data.one.gov.hk/TK101F.JPG
TK105F,新界,西贡区,宝顺路近将军澳游泳池 [TK105F],844979,819832,22.31746,114.26142,https://tdcctv.data.one.gov.hk/TK105F.JPG
K506F,九龙,九龙城区,太子道西天桥近世运公园 [K506F],837681,820963,22.32769862,114.1905897,https://tdcctv.data.one.gov.hk/K506F.JPG
K521F,九龙,黄大仙区,太子道东近新蒲岗 [K521F],838251,821503,22.33257458,114.1961231,https://tdcctv.data.one.gov.hk/K521F.JPG
K123F,九龙,油尖旺区,公主道近京士柏 [K123F],836386,819056,22.31047,114.17802,https://tdcctv.data.one.gov.hk/K123F.JPG
K409F,九龙,九龙城区,公主道/亚皆老街 [K409F],836389,820253,22.32128749,114.1780488,https://tdcctv.data.one.gov.hk/K409F.JPG
K408F,九龙,九龙城区,公主道/培正道 [K408F],836443,819808,22.31726887,114.1785729,https://tdcctv.data.one.gov.hk/K408F.JPG
K102F,九龙,油尖旺区,梳士巴利道近漆咸道 [K102F],836113,817406,22.29557735,114.1753702,https://tdcctv.data.one.gov.hk/K102F.JPG
K101F,九龙,油尖旺区,梳士巴利道近弥敦道 [K101F],835826,817296,22.29458393,114.1725851,https://tdcctv.data.one.gov.hk/K101F.JPG
K607F,九龙,观塘区,秀茂坪道近协和街 [K607F],841318,820555,22.32400731,114.2258911,https://tdcctv.data.one.gov.hk/K607F.JPG
K811F,九龙,观塘区,将军澳道近翠屏南邨 [K811F],842169,819236,22.31209325,114.2341463,https://tdcctv.data.one.gov.hk/K811F.JPG
TK904F,新界,西贡区,将军澳隧道将军澳入口 [TK904F],844594,819819,22.31734805,114.2576851,https://tdcctv.data.one.gov.hk/TK904F.JPG
K111F,九龙,油尖旺区,窝打老道/渡船街 [K111F],835240,819243,22.31216628,114.1668971,https://tdcctv.data.one.gov.hk/K111F.JPG
K112F,九龙,油尖旺区,窝打老道近东方街 [K112F],835730,819355,22.31317793,114.1716528,https://tdcctv.data.one.gov.hk/K112F.JPG
K502F,九龙,九龙城区,窝打老道/歌和老街 [K502F],836493,822341,22.34014333,114.1790585,https://tdcctv.data.one.gov.hk/K502F.JPG
K816F,九龙,深水埗区,西九龙走廊近南昌邨 [K816F],834718,820669,22.32504352,114.1618295,https://tdcctv.data.one.gov.hk/K816F.JPG
K914F,九龙,深水埗区,西九龙公路近荔湾交汇处 [K914F],832752,821317,22.33089245,114.1427454,https://tdcctv.data.one.gov.hk/K914F.JPG
K911F,九龙,油尖旺区,西九龙公路油麻地北交汇处 [K911F],834682,819489,22.31438739,114.1614812,https://tdcctv.data.one.gov.hk/K911F.JPG
TW117F,新界,葵青区,青山公路近德士古道北 [TW117F],830767,825671,22.37020629,114.1234625,https://tdcctv.data.one.gov.hk/TW117F.JPG
TW109F,新界,葵青区,青山公路近和宜合道 [TW109F],831994,825082,22.3648908,114.1353776,https://tdcctv.data.one.gov.hk/TW109F.JPG
SM936F,新界,荃湾区,象鼻山路 [SM936F],830725,826372,22.37653656,114.1230523,https://tdcctv.data.one.gov.hk/SM936F.JPG
TC101F,新界,葵青区,长青桥 [TC101F],829621,823319,22.34896,114.11235,https://tdcctv.data.one.gov.hk/TC101F.JPG
TC302F,新界,葵青区,长青公路近金竹角 [TC302F],827653,822851,22.34472737,114.0932424,https://tdcctv.data.one.gov.hk/TC302F.JPG
TW102F,新界,葵青区,葵涌道近货柜码头 [TW102F],822427,831684,22.34091561,114.132378,https://tdcctv.data.one.gov.hk/TW102F.JPG
TW108F,新界,葵青区,葵涌道近葵兴港铁站 [TW108F],831601,824630,22.36080797,114.1315632,https://tdcctv.data.one.gov.hk/TW108F.JPG
TW105F,新界,葵青区,葵青路近青衣大桥 [TW105F],830732,824014,22.35524257,114.1231284,https://tdcctv.data.one.gov.hk/TW105F.JPG
TW116F,新界,葵青区,德士古道天桥近沙咀道 [TW116F],830581,825314,22.36698179,114.1216578,https://tdcctv.data.one.gov.hk/TW116F.JPG
TC104F,九龙,深水埗区,青葵公路近四号货柜码头 [TC104F],831659,822161,22.33851168,114.1321335,https://tdcctv.data.one.gov.hk/TC104F.JPG
TW121F,新界,葵青区,青葵公路/长青隧道 [TW121F],829451,823205,22.34794,114.1107,https://tdcctv.data.one.gov.hk/TW121F.JPG
TW120F,新界,荃湾区,荃湾路近大涌道 [TW120F],829213,825710,22.37055,114.10837,https://tdcctv.data.one.gov.hk/TW120F.JPG
TW103F,新界,葵青区,荃湾路近荃青交汇处 [TW103F],830114,824915,22.36338,114.11713,https://tdcctv.data.one.gov.hk/TW103F.JPG
TW112F,新界,葵青区,和宜合道近梨树路 [TW112F],832089,825920,22.37245862,114.1362978,https://tdcctv.data.one.gov.hk/TW112F.JPG
TI101F,新界,元朗区,青山公路近洪水桥 [TI101F],818118,832929,22.43566,114.00056,https://tdcctv.data.one.gov.hk/TI101F.JPG
YL111F,新界,元朗区,青山公路近博爱交汇处 [YL111F],821778,833921,22.44465535,114.0361091,https://tdcctv.data.one.gov.hk/YL111F.JPG
YL106F,新界,元朗区,青山公路近元朗 [YL106F],821307,833899,22.44445,114.03153,https://tdcctv.data.one.gov.hk/YL106F.JPG
YL101F,新界,元朗区,朗天路近朗屏路 [YL101F],819768,834117,22.44640711,114.0165806,https://tdcctv.data.one.gov.hk/YL101F.JPG
TC604F,新界,葵青区,汀九桥 [TC604F],826472,824576,22.36029874,114.081767,https://tdcctv.data.one.gov.hk/TC604F.JPG
SW109F,新界,元朗区,元朗公路近洪天路 [SW109F],818174,832088,22.42806827,114.0011184,https://tdcctv.data.one.gov.hk/SW109F.JPG
SW113F,新界,元朗区,元朗公路近博爱交汇处 [SW113F],822099,833779,22.44337572,114.0392287,https://tdcctv.data.one.gov.hk/SW113F.JPG
SW112F,新界,元朗区,元朗公路近十八乡 [SW112F],821323,832721,22.43381492,114.0317002,https://tdcctv.data.one.gov.hk/SW112F.JPG
SW111F,新界,元朗区,元朗公路近唐人新村交汇处 [SW111F],819303,833168,22.43783,114.01207,https://tdcctv.data.one.gov.hk/SW111F.JPG
BC702F,新界,元朗区,青山公路近米埔 [BC702F],824086,838533,22.4863216,114.0584951,https://tdcctv.data.one.gov.hk/BC702F.JPG
FH711F,新界,大埔区,粉岭公路近康乐园 [FH711F],833539,836231,22.46557484,114.1503591,https://tdcctv.data.one.gov.hk/FH711F.JPG
TP113F,新界,大埔区,粉岭公路近康乐园路 [TP113F],833389,835907,22.46264873,114.1489023,https://tdcctv.data.one.gov.hk/TP113F.JPG
FH104F,新界,北区,粉岭公路近古洞 [FH104F],827843,840492,22.5040348,114.0949935,https://tdcctv.data.one.gov.hk/FH104F.JPG
FH107F,新界,北区,粉岭公路近百和路 [FH107F],831102,839954,22.49919,114.12667,https://tdcctv.data.one.gov.hk/FH107F.JPG
FH106F,新界,北区,粉岭公路上水回旋处 [FH106F],830826,840103,22.50053,114.12399,https://tdcctv.data.one.gov.hk/FH106F.JPG
NH101F,新界,北区,马会道近粉岭公路 [NH101F],833134,838717,22.48802377,114.1464192,https://tdcctv.data.one.gov.hk/NH101F.JPG
NH109F,新界,北区,马会道近马适路 [NH109F],831879,840089,22.50041071,114.1342197,https://tdcctv.data.one.gov.hk/NH109F.JPG
TP114F,新界,大埔区,南运路近广福道 [TP114F],835760,834130,22.44660398,114.1719393,https://tdcctv.data.one.gov.hk/TP114F.JPG
BC103F,新界,元朗区,新深路回旋处 [BC103F],826468,840281,22.50212205,114.0816315,https://tdcctv.data.one.gov.hk/BC103F.JPG
BC101F,新界,元朗区,新田公路近锦绣花园 [BC101F],823791,837083,22.4732254,114.0556398,https://tdcctv.data.one.gov.hk/BC101F.JPG
BC102F,新界,元朗区,新田公路近米埔 [BC102F],824754,839246,22.4927649,114.0649812,https://tdcctv.data.one.gov.hk/BC102F.JPG
NH113F,新界,北区,新运路近龙琛路 [NH113F],831109,840382,22.50305446,114.1267355,https://tdcctv.data.one.gov.hk/NH113F.JPG
NH115F,新界,北区,沙头角公路近马适路 [NH115F],833195,840172,22.50116311,114.1470091,https://tdcctv.data.one.gov.hk/NH115F.JPG
TP105F,新界,大埔区,大埔太和路近南运路 [TP105F],835778,834638,22.45119145,114.172114,https://tdcctv.data.one.gov.hk/TP105F.JPG
TP112F,新界,大埔区,大埔太和路近大埔公路-大窝 [TP112F],834388,834749,22.45219287,114.1586098,https://tdcctv.data.one.gov.hk/TP112F.JPG
TP102F,新界,大埔区,完善路近汀角路 [TP102F],836313,835269,22.45688973,114.1773116,https://tdcctv.data.one.gov.hk/TP102F.JPG
ST115F,新界,沙田区,火炭路 [ST115F],838457,827759,22.38907,114.19813,https://tdcctv.data.one.gov.hk/ST115F.JPG
ST725F,新界,沙田区,狮子山隧道公路近新田围邨 [ST725F],837365,825551,22.36913,114.18753,https://tdcctv.data.one.gov.hk/ST725F.JPG
ST731F,新界,沙田区,马鞍山绕道近恒安邨 [ST731F],841525,830492,22.41374312,114.227933,https://tdcctv.data.one.gov.hk/ST731F.JPG
ST732F,新界,沙田区,马鞍山绕道近耀安邨 [ST732F],842077,830916,22.41757026,114.2332959,https://tdcctv.data.one.gov.hk/ST732F.JPG
ST112F,新界,沙田区,美田路近车公庙路回旋处 [ST112F],836457,825801,22.37139,114.1787,https://tdcctv.data.one.gov.hk/ST112F.JPG
ST117F,新界,沙田区,西沙路近马鞍山运动场 [ST117F],841505,831437,22.42227,114.22775,https://tdcctv.data.one.gov.hk/ST117F.JPG
ST119F,新界,沙田区,西沙路/锦英路 [ST119F],842673,831911,22.42656,114.23909,https://tdcctv.data.one.gov.hk/ST119F.JPG
ST715F,新界,沙田区,沙沥公路近韦尔斯亲王医院 [ST715F],838694,826489,22.37760035,114.2004308,https://tdcctv.data.one.gov.hk/ST715F.JPG
ST106F,新界,沙田区,沙田围路/沙沥公路 [ST106F],838638,826524,22.3779165,114.1998871,https://tdcctv.data.one.gov.hk/ST106F.JPG
ST721F,新界,沙田区,沙田路近圆州角公园 [ST721F],838800,827176,22.38380417,114.2014612,https://tdcctv.data.one.gov.hk/ST721F.JPG
SM933F,新界,沙田区,城门隧道公路 [SM933F],836842,826509,22.37778258,114.1824479,https://tdcctv.data.one.gov.hk/SM933F.JPG
SM934F,新界,沙田区,城门隧道沙田入口 [SM934F],836124,826936,22.38164,114.17548,https://tdcctv.data.one.gov.hk/SM934F.JPG
ST109F,新界,沙田区,大涌桥路近滨景花园 [ST109F],838987,827774,22.38920413,114.2032781,https://tdcctv.data.one.gov.hk/ST109F.JPG
ST114F,新界,沙田区,大埔公路沙田段 [ST114F],837562,827207,22.38408,114.18944,https://tdcctv.data.one.gov.hk/ST114F.JPG
ST703F,新界,沙田区,大埔公路近港铁马场站 [ST703F],838614,828403,22.39488488,114.1996569,https://tdcctv.data.one.gov.hk/ST703F.JPG
ST712F1,新界,沙田区,大老山公路近沙田医院 [ST712F1],839918,828795,22.39842255,114.2123212,https://tdcctv.data.one.gov.hk/ST712F1.JPG
ST714F,新界,沙田区,大老山公路近大石鼓 [ST714F],839799,827629,22.38789322,114.2111629,https://tdcctv.data.one.gov.hk/ST714F.JPG
TH110F,新界,大埔区,吐露港公路近香港科学园 [TH110F],838321,833202,22.43822255,114.1968177,https://tdcctv.data.one.gov.hk/TH110F.JPG
TH114F,新界,大埔区,吐露港公路近元洲仔交汇处 [TH114F],836347,833929,22.44478893,114.1776419,https://tdcctv.data.one.gov.hk/TH114F.JPG
TH101F,新界,沙田区,吐露港公路近马料水交汇处 [TH101F],839937,830345,22.41242,114.21251,https://tdcctv.data.one.gov.hk/TH101F.JPG
TH703F,新界,大埔区,吐露港公路近马窝 [TH703F],834456,833474,22.44067912,114.1592719,https://tdcctv.data.one.gov.hk/TH703F.JPG
TH701F,新界,大埔区,吐露港公路近梅树坑 [TH701F],833644,834968,22.45417,114.15138,https://tdcctv.data.one.gov.hk/TH701F.JPG
ST701F,新界,沙田区,吐露港公路近沙田污水处理厂 [ST701F],839744,829743,22.40698,114.21063,https://tdcctv.data.one.gov.hk/ST701F.JPG
FH706F,新界,北区,粉岭公路近港铁粉岭站 [FH706F],832332,839116,22.49162524,114.1386246,https://tdcctv.data.one.gov.hk/FH706F.JPG
ST922F,新界,沙田区,狮子山隧道公路近红梅谷路 [ST922F],836837,825092,22.36499,114.1824,https://tdcctv.data.one.gov.hk/ST922F.JPG
SW103F,新界,元朗区,港深西部公路近青砖围 [SW103F],816250,831971,22.426992,113.982439,https://tdcctv.data.one.gov.hk/SW103F.JPG
SW108F,新界,元朗区,元朗公路近丹桂村 [SW108F],817765,831681,22.42438851,113.9971503,https://tdcctv.data.one.gov.hk/SW108F.JPG
TL102F,新界,元朗区,大榄隧道元朗入口 [TL102F],824294,830115,22.41030489,114.0605797,https://tdcctv.data.one.gov.hk/TL102F.JPG
TL103F,新界,荃湾区,大榄隧道汀九入口 [TL103F],824945,826252,22.37542451,114.0669298,https://tdcctv.data.one.gov.hk/TL103F.JPG
TS102F,新界,葵青区,南湾隧道昂船洲大桥入口 [TS102F],829034,821746,22.33475496,114.1066537,https://tdcctv.data.one.gov.hk/TS102F.JPG
TS104F,新界,葵青区,青沙公路近荔枝角 [TS104F],832853,822590,22.34238857,114.1437231,https://tdcctv.data.one.gov.hk/TS104F.JPG
TS105F,新界,沙田区,沙田岭隧道沙田入口 [TS105F],835713,825380,22.36758712,114.1714857,https://tdcctv.data.one.gov.hk/TS105F.JPG
TW701F,新界,荃湾区,象鼻山路近美环街 [TW701F],829853,826388,22.37667801,114.1145851,https://tdcctv.data.one.gov.hk/TW701F.JPG
H702F,香港岛,中西区,西区海底隧道香港入口 [H702F],832714,816825,22.29032691,114.1423865,https://tdcctv.data.one.gov.hk/H702F.JPG
H703F,香港岛,中西区,干诺道西 [H703F],832744,816646,22.28871049,114.142678,https://tdcctv.data.one.gov.hk/H703F.JPG
K901F,九龙,油尖旺区,西区海底隧道九龙入口 [K901F],834645,818796,22.30813,114.16112,https://tdcctv.data.one.gov.hk/K901F.JPG
K931F,九龙,黄大仙区,大老山隧道九龙入口 [K931F],839230,821667,22.33406,114.20563,https://tdcctv.data.one.gov.hk/K931F.JPG
K952F,九龙,观塘区,东区海底隧道九龙入口 [K952F],842151,818052,22.30140107,114.2339672,https://tdcctv.data.one.gov.hk/K952F.JPG
ST942F,新界,沙田区,大老山隧道沙田入口 [ST942F],839615,826984,22.38206891,114.2093748,https://tdcctv.data.one.gov.hk/ST942F.JPG
K121F,九龙,油尖旺区,广东道近梳士巴利道 [K121F],835484,817483,22.29627254,114.1692661,https://tdcctv.data.one.gov.hk/K121F.JPG
TL101F,新界,元朗区,青朗公路近高埔新村 [TL101F],824030,833132,22.43755,114.05799,https://tdcctv.data.one.gov.hk/TL101F.JPG
TS101F,新界,葵青区,南湾隧道西草湾入口 [TS101F],827717,822693,22.34330086,114.0938645,https://tdcctv.data.one.gov.hk/TS101F.JPG
CW103F,香港岛,中西区,中环及湾仔绕道中环入口 [CW103F],834217,816498,22.28737633,114.1569719,https://tdcctv.data.one.gov.hk/CW103F.JPG
CW803F,香港岛,东区,中环及湾仔绕道城市花园入口 [CW803F],837796,816776,22.28988738,114.191702,https://tdcctv.data.one.gov.hk/CW803F.JPG
HH001F,新界,大埔区,香园围公路近粉岭公路交汇处 [HH001F],833872,837592,22.47786575,114.1535925,https://tdcctv.data.one.gov.hk/HH001F.JPG
HH002F,新界,北区,香园围公路近长山隧道北出入口 [HH002F],843418,835633,22.53048,114.17071,https://tdcctv.data.one.gov.hk/HH002F.JPG
HH003F,新界,北区,香园围公路近坪洋交汇处 [HH003F],834720,844372,22.53909273,114.1618259,https://tdcctv.data.one.gov.hk/HH003F.JPG
HH004F,新界,北区,香园围公路近莲麻坑路交汇处 [HH004F],833782,845125,22.54589147,114.1527062,https://tdcctv.data.one.gov.hk/HH004F.JPG
TC560F,新界,葵青区,青马大桥 [TC560F],825678,823558,22.35110094,114.074065,https://tdcctv.data.one.gov.hk/TC560F.JPG
TC551F,新界,荃湾区,汲水门桥 [TC551F],823943,822910,22.34523759,114.0572263,https://tdcctv.data.one.gov.hk/TC551F.JPG
TC573F,新界,荃湾区,青屿干线近收费广场 [TC573F],822059,822037,22.33733939,114.0389447,https://tdcctv.data.one.gov.hk/TC573F.JPG
NL121F,新界,荃湾区,北大屿山公路近欣澳 [NL121F],820157,820671,22.3249869,114.0204954,https://tdcctv.data.one.gov.hk/NL121F.JPG
NL124F,新界,离岛区,北大屿山公路近小蚝湾 [NL124F],817064,819024,22.31008185,113.9904935,https://tdcctv.data.one.gov.hk/NL124F.JPG
NL206F,新界,离岛区,顺朗路近北大屿山公路 [NL206F],815053,817871,22.29964603,113.9709987,https://tdcctv.data.one.gov.hk/NL206F.JPG
NL126F,新界,离岛区,北大屿山公路近白芒 [NL126F],814515,817718,22.29826,113.96577,https://tdcctv.data.one.gov.hk/NL126F.JPG
NL128F,新界,离岛区,北大屿山公路近东涌 [NL128F],812609,816747,22.28946,113.94729,https://tdcctv.data.one.gov.hk/NL128F.JPG
NL022F,新界,离岛区,东荣路 [NL022F],811731,818807,22.30805,113.93874,https://tdcctv.data.one.gov.hk/NL022F.JPG
PB106F,新界,荃湾区,竹篙湾公路 [PB106F],821732,820713,22.3253802,114.0357825,https://tdcctv.data.one.gov.hk/PB106F.JPG
TR101F,新界,荃湾区,屯门公路-柴湾角 [TR101F],828565,826073,22.37383,114.10208,https://tdcctv.data.one.gov.hk/TR101F.JPG
TR103F,新界,荃湾区,屯门公路-油柑头段 [TR103F],827318,825687,22.37033628,114.0899744,https://tdcctv.data.one.gov.hk/TR103F.JPG
TR105F,新界,荃湾区,屯门公路-汀九段 [TR105F],826054,825794,22.37129549,114.0777009,https://tdcctv.data.one.gov.hk/TR105F.JPG
TC612F,新界,荃湾区,屯门公路至汀九桥 [TC612F],825644,825694,22.37038995,114.0737207,https://tdcctv.data.one.gov.hk/TC612F.JPG
TR107F,新界,荃湾区,屯门公路-深井段 [TR107F],825207,825163,22.36559198,114.0694813,https://tdcctv.data.one.gov.hk/TR107F.JPG
TR108F,新界,荃湾区,屯门公路-深井交汇处 [TR108F],824432,825594,22.36947897,114.0619535,https://tdcctv.data.one.gov.hk/TR108F.JPG
TR111F,新界,荃湾区,屯门公路 -近青龙头 [TR111F],822340,825085,22.36486675,114.0416459,https://tdcctv.data.one.gov.hk/TR111F.JPG
TR114F,新界,屯门区,屯门公路-大榄角段 [TR114F],820034,824349,22.3582,114.01926,https://tdcctv.data.one.gov.hk/TR114F.JPG
TR116F,新界,屯门区,屯门公路-小榄段 [TR116F],818269,825371,22.36741164,114.002117,https://tdcctv.data.one.gov.hk/TR116F.JPG
TR119F,新界,屯门区,屯门公路-三圣墟 [TR119F],816012,827115,22.38313566,113.9801811,https://tdcctv.data.one.gov.hk/TR119F.JPG
TR704F,新界,屯门区,屯门公路近青贤街 [TR704F],815631,828770,22.39807653,113.9764601,https://tdcctv.data.one.gov.hk/TR704F.JPG
